量測者,儀器編號,量測手法,組裝廠別,閉合_測量值1,閉合_測量值2,開啟_測量值1,開啟_測量值2,規格下限_閉合,規格上限_閉合,規格下限_開啟,規格上限_開啟
涂X騰,20240304A,A,精裝A,99.9,96.1,28.7,29.2,85,120,26,33
余O濤,20240304A,A,精裝A,93.5,99.3,28.8,30.8,85,120,26,33
洪O祥,20240304A,A,精裝A,99.4,96.6,29.2,31.2,85,120,26,33
游X潔,20240304A,A,精裝A,97.4,98.0,29.5,31.2,85,120,26,33
涂X騰,20240304B,A,精裝A,97.5,99.5,28.1,30.1,85,120,26,33
余O濤,20240304B,A,精裝A,95.9,99.6,29.6,28.9,85,120,26,33
洪O祥,20240304B,A,精裝A,96.0,97.4,27.6,26.6,85,120,26,33
游X潔,20240304B,A,精裝A,96.4,96.0,30.4,29.3,85,120,26,33
涂X騰,20240304C,A,精裝A,97.3,97.4,31.0,28.9,85,120,26,33
余O濤,20240304C,A,精裝A,95.8,96.4,28.9,31.2,85,120,26,33
洪O祥,20240304C,A,精裝A,99.9,97.6,27.2,29.5,85,120,26,33
游X潔,20240304C,A,精裝A,98.5,97.7,30.3,29.4,85,120,26,33
涂X騰,20250224A,A,精裝A,99.9,99.3,30.4,30.3,85,120,26,33
余O濤,20250224A,A,精裝A,92.4,98.3,26.6,28.6,85,120,26,33
洪O祥,20250224A,A,精裝A,98.7,97.7,27.1,29.3,85,120,26,33
游X潔,20250224A,A,精裝A,95.0,98.0,30.0,30.1,85,120,26,33
涂X騰,20240304A,B,精裝A,96.8,98.3,29.2,28.6,85,120,26,33
余O濤,20240304A,B,精裝A,98.3,97.7,28.6,29.3,85,120,26,33
洪O祥,20240304A,B,精裝A,97.7,99.4,29.3,29.2,85,120,26,33
游X潔,20240304A,B,精裝A,98.0,97.4,30.1,29.5,85,120,26,33
涂X騰,20240304B,B,精裝A,97.6,95.9,28.2,29.7,85,120,26,33
余O濤,20240304B,B,精裝A,95.9,96.3,29.7,29.5,85,120,26,33
洪O祥,20240304B,B,精裝A,95.6,98.2,28.9,30.0,85,120,26,33
游X潔,20240304B,B,精裝A,96.3,98.4,29.5,30.6,85,120,26,33
涂X騰,20240304C,B,精裝A,98.9,98.7,28.7,29.7,85,120,26,33
余O濤,20240304C,B,精裝A,97.5,95.0,29.6,30.7,85,120,26,33
洪O祥,20240304C,B,精裝A,97.4,98.8,29.9,28.9,85,120,26,33
游X潔,20240304C,B,精裝A,98.8,97.4,29.3,30.0,85,120,26,33
涂X騰,20250224A,B,精裝A,98.4,99.9,29.2,30.4,85,120,26,33
余O濤,20250224A,B,精裝A,97.4,92.4,29.2,26.6,85,120,26,33
洪O祥,20250224A,B,精裝A,97.3,98.7,29.7,27.1,85,120,26,33
游X潔,20250224A,B,精裝A,98.5,95.0,29.3,30.0,85,120,26,33
涂X騰,20240304A,C,精裝A,95.8,96.7,29.8,30.4,85,120,26,33
余O濤,20240304A,C,精裝A,96.9,96.7,29.5,29.4,85,120,26,33
洪O祥,20240304A,C,精裝A,96.7,96.7,30.4,28.8,85,120,26,33
游X潔,20240304A,C,精裝A,96.7,98.0,29.4,29.8,85,120,26,33
涂X騰,20240304B,C,精裝A,96.7,98.1,28.8,30.0,85,120,26,33
余O濤,20240304B,C,精裝A,97.7,98.1,29.3,30.0,85,120,26,33
洪O祥,20240304B,C,精裝A,93.7,98.2,29.2,30.0,85,120,26,33
游X潔,20240304B,C,精裝A,96.5,98.0,29.6,30.2,85,120,26,33
涂X騰,20240304C,C,精裝A,94.0,96.8,29.5,30.5,85,120,26,33
余O濤,20240304C,C,精裝A,97.5,96.0,29.7,30.1,85,120,26,33
洪O祥,20240304C,C,精裝A,97.4,97.3,29.3,30.2,85,120,26,33
游X潔,20240304C,C,精裝A,97.6,97.2,28.0,30.7,85,120,26,33
涂X騰,20250224A,C,精裝A,97.5,98.3,28.0,30.3,85,120,26,33
余O濤,20250224A,C,精裝A,95.5,95.8,28.5,30.3,85,120,26,33
洪O祥,20250224A,C,精裝A,97.3,97.9,28.9,30.3,85,120,26,33
游X潔,20250224A,C,精裝A,97.2,96.3,30.4,30.5,85,120,26,33
涂X騰,20240304A,D,精裝A,96.0,96.2,31.2,30.1,85,120,26,33
余O濤,20240304A,D,精裝A,96.4,98.0,29.7,30.2,85,120,26,33
洪O祥,20240304A,D,精裝A,96.3,97.8,29.2,30.2,85,120,26,33
游X潔,20240304A,D,精裝A,94.3,97.9,30.6,30.4,85,120,26,33
涂X騰,20240304B,D,精裝A,95.3,97.5,30.3,30.3,85,120,26,33
余O濤,20240304B,D,精裝A,97.3,98.0,29.7,30.2,85,120,26,33
洪O祥,20240304B,D,精裝A,96.1,97.8,30.4,30.2,85,120,26,33
游X潔,20240304B,D,精裝A,96.4,97.9,30.9,30.4,85,120,26,33
涂X騰,20240304C,D,精裝A,96.6,96.9,29.6,29.6,85,120,26,33
余O濤,20240304C,D,精裝A,95.4,97.0,29.5,29.7,85,120,26,33
洪O祥,20240304C,D,精裝A,96.2,96.5,30.9,30.2,85,120,26,33
游X潔,20240304C,D,精裝A,96.9,96.9,29.2,29.2,85,120,26,33
涂X騰,20250224A,D,精裝A,96.0,96.9,30.3,29.7,85,120,26,33
余O濤,20250224A,D,精裝A,96.9,96.1,29.7,30.4,85,120,26,33
洪O祥,20250224A,D,精裝A,96.1,96.7,30.4,30.7,85,120,26,33
游X潔,20250224A,D,精裝A,96.7,95.8,30.7,30.8,85,120,26,33
